Urls,Titulos,Descripcion,Valoraciones,Precio,Estrellas,Fecha subida,Direccion,Num veces visto,Me gustas,Estado,Envio,Reservado,Url Usuario
https://es.wallapop.com/item/vitrina-rinconera-881548643,vitrina-rinconera,Vitrina rinconera de madera y puerta de cristal con 3 estantes y cajon en la parte inferior,4.0,200 EUR,5.0,08-mar-2023,Os Tilos,21.0,0.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/mariac-117829704-4w67l0gne8jx/published
https://es.wallapop.com/item/vitrina-rinconera-881056910,vitrina-rinconera,Vitrina rinconera en perfecto estado las medida de ancho y fondo son de la parte baja con puerta,15.0,15 EUR,5.0,08-mar-2023,Montequinto,6.0,0.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/pilarg-26317156-lqzm377d1y6v/published
https://es.wallapop.com/item/mueble-de-salon-vitrina-y-rinconera-de-entrada-876904882,mueble-de-salon-vitrina-y-rinconera-de-entrada,"El mueble mide 3 metros por 2,40 la vitrina 1 m por 2,10 la rinconera 60por 60 y 1,90",0.0,500 EUR,0.0,21-feb-2023,Gijón,83.0,2.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/katyg-434372530-nzx5eg4p3m62/published
https://es.wallapop.com/item/vitrina-rinconera-863763338,vitrina-rinconera,"Vitrina de rincón, mide 190cm de alto y 30cm en cada lado. Es de madera maciza y cristal",16.0,100 EUR,5.0,09-ene-2023,Valencia,255.0,11.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/lola-51541525-kmzn3po0n7jn/published
https://es.wallapop.com/item/vitrina-rinconera-marqueteria-836332969,vitrina-rinconera-marqueteria,Vitrina clásica con marquetería con baldas de cristal y tapizado interior. Medidas: 170 cm x 40 cm lado. Creaciones Fejomi,117.0,400 EUR,5.0,10-feb-2023,Boadilla del Monte,405.0,19.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/luis-46915641-9wzv41qppqzl/published
https://es.wallapop.com/item/vitrina-rinconera-835745911,vitrina-rinconera,"Vitrina de madera por fuera y cristal por dentro, perfecta rinconera",1.0,149 EUR,5.0,26-feb-2023,Albacete,155.0,6.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/l-74744332-lqzmppmlnyzv/published
https://es.wallapop.com/item/vitrina-rinconera-con-luz-805706081,vitrina-rinconera-con-luz,Gran oportunidad!. Baldas de cristal con parte inferior cerrada también con baldas. Con enchufe para conectar el halógeno. Medidas: alto 190 cm x 35 cm de los lados. En perfecto estado.,182.0,44 EUR,5.0,13-feb-2023,Madrid,232.0,9.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/raquelr-57912983-g0j2n8on1mjy/published
https://es.wallapop.com/item/mueble-rinconera-vitrina-697307808,mueble-rinconera-vitrina,Mueble rinconera vitrina una de las dos trasera esta rota por lo demás el mueble impoluto,33.0,50 EUR,5.0,08-feb-2023,Villar del Olmo,608.0,13.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/alfredom-59803477-dqjw2vre9gjo/published
https://es.wallapop.com/item/muebles-comedor-880862012,muebles-comedor,"Muebles comedor, rinconera y estantes con vitrina y aparador incluidos",0.0,550 EUR,0.0,06-mar-2023,Valencia,32.0,0.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/manuelas-431703667-vjrdeqrmvw6k/published
https://es.wallapop.com/item/vitrina-rinconera-880724343,vitrina-rinconera,Vitrina en color nogal acristalada en muy buen estado,0.0,375 EUR,0.0,06-mar-2023,Bailén,10.0,0.0,Como nuevo,NO,NO,https://es.wallapop.com/app/user/lorenzod-434905991-vjrde37qdl6k/published
https://es.wallapop.com/item/casa-de-munecas-820801882,casa-de-munecas,"Artículos para casa de muñecas escala 1/12z Trona bebé Arpa Caja de puros Caja de zanahorias Cesta de artículos de bebé Pizarra para habitación niños Artículos varios para bebé Vitrina rinconera. Medidas 17 cm de alto 7 cm de ancho y 4 cm de base, se abren las puertas. Se pueden comprar artículos por separado. Preguntar precio.",869.0,30 EUR,5.0,07-mar-2023,Mollet del Vallès,65.0,7.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/mariad-55356518-8x6qq50xko6y/published
https://es.wallapop.com/item/vitrina-de-cristal-866526671,vitrina-de-cristal,"Vitrina de cristal rinconera con iluminación medidas Altura 2,03. medida ángulo rincón 35cm",13.0,55 EUR,5.0,08-mar-2023,Valencia,217.0,4.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/josevicented-57585771-8ejkp8nqp9zx/published
